Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.1.32..7...5.7.....3.....9...8.....4....948.1.2......9......3..57.2.....9.47....8,24,51,5,1,0,0,0,1,0,Expert
7...8.6...5.13..8..4...23.5..5.1.8....24.......8....611.7.6.............3...7....,24,46,11,0,0,0,0,0,0,Easy
..8..96..6.18..2..25...7.........76...7..........8..39513....8..8....39....5.....,24,42,15,0,0,0,0,0,0,Easy
.9.5......58.17..94...9.58...594.3.7.....6.5..1....9.8...8..7........8.1....7....,26,56,25,3,0,2,0,4,4,Expert
..3.2.8...98......7.......92.........5.68.......57.36..81...67............6.59.32,24,43,14,0,0,0,0,0,0,Easy
.4..3...1378.......51.........2.3......87.4...6.5........726.157.54...3...6..1..8,27,48,6,0,0,0,0,0,0,Easy
..7..231..637..58....15....75..2.9.......9.279.....8...............7.13.8...6..7.,26,43,12,0,0,0,0,0,0,Easy
.7.23..1.6...7.352.......977...51.4......4.6....7....1.3.4.....4...93...12......9,27,63,14,1,1,1,1,3,2,Expert
......2.9.......74...5..1..8...2.9....9...5..2....7.68.7...8..1...6.4....65.91...,24,81,17,2,0,2,0,6,10,Expert
.8...47........12...3.17...........2.1..9.3...45...8...29.7....1342.5...8......4.,25,42,14,1,0,1,0,0,0,Intermediate
.427..........48...5..6...93...96..2..9..2..6.2437.....83....27..5...3........58.,27,44,14,5,1,1,0,4,2,Expert
.38.2..6.5....6..34.....8.........2.1...6...4..9...1...8...2.....264...9..495..1.,25,43,13,0,0,1,0,0,0,Intermediate
.8.4....96418.....7....61...1..457..97.......8........128..4..54..28........7....,26,44,11,1,0,0,0,0,0,Intermediate
3.........6.....4.91..8....2.1.3..78..9...12.8.....9..1....23..7..69...4.8..4...7,26,50,5,0,0,0,0,0,0,Easy
...8.....4.8....39..........84..76..3.7.9.1.29...81..36.....42.7.364........7....,26,40,14,8,0,0,0,1,0,Expert
.5......21..82...6.2.943.5.2.........9..8.4.15..6.1............48...9....1..68..5,26,67,13,1,0,2,0,4,6,Expert
1..........6..9.2..5..361.......7.....34.5.96..7.9...4..5321...2...........5.4..7,25,50,5,2,0,1,1,1,0,Expert
82..7....4...89......2...4.76.9.1..23....7.......6......46....81....249.63.8....1,27,42,12,0,0,0,0,0,0,Easy
......84....249...3....6..91..8.56..43.......6.2...3.5...31.9.2.......1......2..6,25,38,18,1,0,1,0,0,0,Intermediate
..53..1.....8...5419...4.38...9..8.3...1...7......5.29.82...........19.....7...4.,25,49,11,2,0,2,0,3,2,Expert
..1..48..5...8..3.2..69...4.3.51..8...5.........2...........12.....4..6.92..6...8,24,44,13,0,0,0,0,0,0,Easy
.....15....4......6.325...7...745.......132....6......9..1....3.725...9.3...94..6,26,42,13,1,1,2,0,0,0,Intermediate
23...4..1..4.5.9....1.8...2.2...7.98...42....1....8.....5......84...9.2..7...1...,25,64,23,3,0,4,0,4,6,Expert
.9.7...51..........3..2.......6..3.871..5...2.....8.......81..3623........9..2...,22,42,17,0,0,0,0,0,0,Easy
...............8.1.81.3.49.......312....6..54.....96..3.9.1....4.29.......6.2.53.,25,87,20,10,3,3,0,11,12,Expert
..5...6.762.........9...1...6.......17349.2....4.....92....1...45.97.....97.6..4.,26,44,10,2,1,4,0,1,0,Expert
.76...4.3.4....1...........5...82........3....6241.........8.71..512.....83.5.6.2,25,56,0,0,0,0,0,0,0,Simple
.57......8..9.......6..219...3.8...1..5.36..........8.2...5.........13...1.6935..,24,74,21,1,1,1,1,4,6,Expert
..75.6.2..251.....9....7...3.......1.....5....1.3.4..6..1....327.32.....54.67....,26,35,20,0,0,0,0,0,0,Easy
........8.7.1..6...35..81..1..3...87..98.7.6...75.2..9..8.....35...93..........2.,26,42,12,0,1,3,1,1,0,Expert
3..5.4...1.........2....74.7......1....7..4..24.1..63.49.27.3......9..71.1...6...,26,91,24,3,1,2,1,6,8,Expert
..6..28...2.487...3.9.......7.....8.4..9.....96..2....2...6.....9...14.6.....812.,25,31,25,0,0,0,0,0,0,Easy
5......6..6..197.......39129..3....732..9.6.88.5..2..3..7...2.....1.7....5...6...,28,40,12,1,1,0,0,1,0,Expert
.......6..1.....7.9.....4.38.17......7..635.43...84..7.8...5.1.......9.5......34.,25,53,3,0,1,1,0,0,0,Intermediate
.3.24.1....21...3..7..9...5.417.2..9.............1935......6......3..7....9.51...,25,49,30,6,0,1,0,5,4,Expert
.6..98.....97..53...4.56.2........54..8.4....7........5.....2..6.....847.....7.9.,24,64,19,0,0,3,0,2,2,Expert
..9.3.542....2...9..................75284.9.3..49..7..1.8....5.5..38.4.1.4..7..3.,28,49,4,0,0,0,0,0,0,Easy
8.2......74.....939.....8...5..1.4.7........8..735....3...75..12194...5..........,25,39,17,2,0,0,0,0,0,Intermediate
..6.7..9.7....3..8...5........1....5.9..4..83..57.91.6.39....5.874..........6....,25,40,14,1,1,3,1,2,0,Expert
7.....24.8..4..3...6......1.2..5...6...2......3...1......387.25.............651.7,23,54,4,1,0,0,0,0,0,Intermediate
...5...9..4...6..........5.8.....415..5.8........2...77..4..12.1.6.57..82..96....,25,41,15,0,0,0,0,0,0,Easy
8.....2..6...5...9............2...35..2.3981...5..8.....94......51.6...3.8..95..4,25,33,23,1,1,1,0,0,0,Intermediate
...7.98.5.....819..........5.4..3....1..5....7.......44.5....1....4.19.83..8..4.6,25,31,24,0,0,2,1,1,0,Expert
2...7......8.1.675...48.............351...7.....7..358.23.....1.....5...41.....36,25,40,16,0,0,0,0,0,0,Easy
.....1......9.8.4..8.....31..74.2..8.....971.6.....4....8.6.....2.3.....34..2..7.,24,51,19,0,1,1,0,4,2,Expert
.312.98.52..1.5..3...8..4...854.......9......6...8........1...452........96...5..,25,63,10,0,0,3,0,3,2,Expert
.56......8.29...7...4.........8.....97.5.......5.3.......2.9..54..35.6....846..23,25,49,9,0,0,0,0,2,2,Expert
4....6..57..3..46.3.9....87..2....9.....6...2..6.247....3649...2..78........3....,27,32,22,0,0,0,0,0,0,Easy
......3..63....471..7....69......59....3....75....9.1..942......2.1.3..4.6...5...,25,68,21,1,0,0,0,6,8,Expert
....694.........5....2.4.79....7.......4..31.7....5.26.5..1...4.9.35....37......2,25,42,14,0,0,0,0,0,0,Easy
9......3.....2..14..........5.1.4.9..6....3......5..2819...5...34.2196...8.43....,26,49,6,3,0,0,0,0,0,Intermediate
.....1..8489.7..5.......7.........6....6.8..13...5.9..9..3.....8...45...1.3..759.,25,84,16,3,0,0,0,5,4,Expert
..43581........95......9........3.1....9..8.2.45.....79..7.1....7..........8...29,23,48,18,0,1,2,0,2,2,Expert
83...47.....5.........6...5...4....234.2...8......9.7.6....743.....8.596.........,23,33,25,0,0,0,0,0,0,Easy
.45.2.8...7..56...3.2.7.6.....8...4.........7.....15.3..1..7.24.........4..285..1,26,45,10,0,0,0,0,0,0,Easy
84.21.....32.....7..5.78.......92...7.1.4.8..........9..835.4..3....9.7.41.......,26,48,7,0,0,0,0,0,0,Easy
93..5.4..458........1.....32....1.4...5..429.36..9.5.1....2.9......4....1..6.....,26,40,19,4,0,3,0,3,2,Expert
.85...6...1........9.7..28.........515.9..........37.1..8..........3..9.6791..5.8,24,40,17,0,0,0,0,0,0,Easy
.......3...1..4....5........2.....5.4....527.58.37.9......2.....9..81..57...3..18,24,45,12,0,0,0,0,0,0,Easy
9..5....65..3.8.9.......71...9..1....3.9.7.6..8.....3....7..6..87.195.4.....4....,26,45,8,0,2,2,0,2,0,Expert
...2.....637..829.9...6.8..21.8......96...7...4.........3...9.78..7.6..4.....21.8,27,43,11,0,0,0,0,0,0,Easy
.6.9.3.7.2..7...914..........4.9.1..63.17......2.5....9.5.3.....2...1...3.7.....2,26,53,2,0,0,0,0,0,0,Easy
......721.........1.......4.4.2..1.....3.56...52.6.....3...14.54....3.18.2.75.3.6,27,48,10,0,0,0,0,2,2,Expert
5........2.......94631...........1.8..46.......25316.4..6.54......8...9231..9....,26,53,2,0,0,0,0,0,0,Easy
65.8..7.4.....43..4.3...28586....45..2.3........9..8.....739.6....5.2.......8....,27,37,16,1,1,1,0,1,0,Expert
.....3852.......3.........7.......64.82..9......7.25..45..9....2.8..674.6.9.3..8.,26,49,6,1,0,0,0,0,0,Intermediate
.4...89........74.1.9.75....3..9.8...................738..6...4.1...36.9..478.3..,25,44,12,1,0,2,0,0,0,Intermediate
56947.....27.6195.....8....4...16.8..76.......8...........9.5........47..91.4.86.,28,40,13,0,0,0,0,0,0,Easy
.816......3.8.27.1..7.3.6....8..1..35...6............4..4...2.......4..8..2.5.3.7,25,44,12,0,0,1,0,0,0,Intermediate
2.....1..8.6.....57.5..1.2.3.....2...7..5..61.......37...8.5..3.9..3....1..7.68..,26,59,17,2,0,1,0,3,2,Expert
.4..8...7..1..........14..96...97...8..2...5.12.8.6.7.79..........6.....4..1...86,25,36,26,1,1,2,0,2,2,Expert
81...........2...85..9..4..1.586..4...6..91.......25........9...7....2.49..4....7,24,76,9,7,0,1,0,2,2,Expert
.94.....8.......14....6.5..92.1...7..8.45.92.6...2....4.89....7.51............1..,25,40,16,3,0,0,0,0,0,Intermediate
1....74.......9..8...824..1..6..3..4...6...9...4.8...3...3...27......8...2..91.3.,25,54,2,0,0,0,0,0,0,Easy
...9..84.....57....926...............73.8...62.8.734...49865...3.........5....7..,25,40,21,0,1,1,2,2,2,Expert
...39...5...5....8.3..71.........54.7....4..3....2....4.1..5..73..4.7...8..9..32.,25,47,9,0,1,0,1,0,0,Intermediate
..437..29.2..6.37..8........3.79....2..4....6..1.2.....632.1.9...........9.63..8.,27,40,14,0,0,0,0,0,0,Easy
..4.5.2.6...7...54......7....6..2...45...6.21.1...5..8...1..3...3......2..7.6..4.,25,42,24,0,0,1,1,2,2,Expert
3.5....48.....4.5...4.8..191....3...2.38........9...2..1...57..5.9.......78......,24,40,17,0,0,0,0,0,0,Easy
.7.6..5..4.5.........9..4185..2......24.....99.....1.619..6....2...5......7...9..,24,39,18,0,0,0,0,0,0,Easy
.....5.9.....3.......7..54....2.86..6..9..7..9...5.....6....43.4.5.....8....79.5.,23,34,24,0,0,0,0,0,0,Easy
1......9.7..4.8........3.......4..59.....63..63..57...35......4.74....6..16.7.8.5,26,44,11,2,0,0,0,0,0,Intermediate
.......6..7.2.6.....9..1.3..5.8......1...3..79..6..5.1...........35..92..261..8.5,25,37,19,0,0,0,0,0,0,Easy
1.8..7...592.....3.3.......314........5.........3.17.97.9..2..5....1...22..4...9.,25,36,20,2,0,0,0,0,0,Intermediate
.........9....7.5.7....591...1.3.72.53...4..92.7...3..4.83.1......9...7.1..8.....,26,50,5,0,0,0,0,0,0,Easy
.....3..4..19..67....7.....6..13...9.....58.1......7...7..4.5.3483.....7.5...6.9.,26,44,10,0,0,0,0,1,0,Expert
4.6..932..7.46.............7.1....9..8...34..9.......2..31.2..9...7.....8..6...4.,24,39,18,1,0,1,0,0,0,Intermediate
..1.5....4.2.16.73.6....1..6.7.........9.....1...3...45.3..9.46.4.....1....4..537,27,57,15,2,1,0,0,5,2,Expert
.1..7.9.28.6...5....5...7..23..1....6....3........9.8...3..2..........1.568.9..7.,24,46,11,0,0,0,0,0,0,Easy
.8714..65..37.6.....4..97.3.5.9.....67...4.5...1..83......3..1....68............4,27,48,6,0,0,0,0,0,0,Easy
.......68.........1.....4..9..1.6..3..47...82..7.9....2..6..17.8..9..2...39..2...,24,51,22,3,0,0,1,3,2,Expert
2.....8...15....49849...1..192.....4........3.8.1.....5.8.........4.29...7..3..25,26,37,18,0,0,0,0,0,0,Easy
......6.969.8.41...47..52.....2.79..86..9.7.1..4.....851...9............7..1.....,26,53,2,0,0,0,0,0,0,Easy
..9..7....4..1.8..15........814.....5....932.....5.....756..98.....7.46.4.....53.,26,52,15,2,0,1,0,3,2,Expert
.7....5.85...2...9.6.....23.8.5..7.....76.....9...8..6..8....9...62.4....4.3.5...,25,40,15,3,0,0,0,1,0,Expert
92.7.8.1..16....7...3.26...........2........7.6.4...9...1..7.4....34...1.72....83,26,44,11,0,0,0,0,0,0,Easy
..........5.2......7..6...3........43...15.2.19...4..66..7...9..4.35..67....4..5.,24,37,20,0,0,0,0,0,0,Easy
2...6.1....8.....5.15.7....8672..5............2..4967..5...1.....6...4..14....29.,26,42,13,3,0,1,0,0,0,Intermediate
.5.64.1...368..............9..41..868......41......9....83..69.7......3..4......5,24,42,15,0,0,0,0,0,0,Easy
..5.1..9....9..2.8.8..5.4..5.8....3.1....4...49..7..........7.5....4.3.9.4.1.....,24,35,22,1,0,0,0,0,0,Intermediate
3.95......7.......6.2..93....7.14...5.13.7....2......9...172...........4..6.43.1.,25,40,16,3,0,0,0,0,0,Intermediate
.1..8..4...452..87..6...1..9..87..............2......4...2......5...6..9..215.7.6,24,46,11,0,0,0,0,0,0,Easy
.....2469..264.......8....2...5.8......129745....7..2.........4.98.1..7..5...61..,27,62,10,4,0,1,1,3,2,Expert
....8....9..2..4...81....5...6.....575....8..8.94....2......1..5...7698.6.8.1...7,26,46,8,2,0,2,0,1,0,Expert
..5..3.....3.......2.986...91.....4...8...5...3...2....6.2.5..9.4.13.2.5...4.813.,27,54,0,0,0,0,0,0,0,Simple
...2..67.9....4......7....4.3.....5..4.82..9...5.....6..69..2.....53.4.8..2..67..,25,38,17,1,0,2,1,1,0,Expert
...49.................5.9.13.5..4...8.93.2.1.1...6...2..4..586.61.2.8.9.9..6.....,27,54,0,0,0,0,0,0,0,Simple
.........9...8.5....86...24...5...3.2.34..985.....2...8..925.73..4..3.......6....,25,38,18,1,0,0,0,0,0,Intermediate
62...4...81..7..5....1.5.....87..54...36....2.....13.8.5...6..4....3..7.....4....,25,43,13,0,0,2,0,0,0,Intermediate
.4....7.8.......6..37........3....4518..7...3..6.....2...5.2..4....862..4..73....,24,55,12,4,0,1,1,2,2,Expert
9....6..2...4...8..56.2.........3.2......4.9...32..8.734....65......5.73.9.8.....,25,39,17,0,0,0,0,0,0,Easy
7.3.81.6.2.6.5......8...5......3....91...6.2....9..6.1........8...7...3...26...7.,24,37,20,1,0,0,0,0,0,Intermediate
....7...22.8..6....75.....4.8..1......1.89.5..2.6.4...7.4.5..8......1....568...1.,26,46,19,3,0,1,0,6,4,Expert
.....6.......14.8...........4..6..3..35.2.94.861.....5..6...4.8.1.548.9...2....1.,26,46,9,0,0,0,0,0,0,Easy
....7...2.298.5.1...5.16...95.7.8.6........7.8.........12......5.4.2....76.1.9...,26,55,0,0,0,0,0,0,0,Simple
8.9..2....4..9..6.62.87....9..3.572.2..9....6....6........2.8.53..5..9..........4,26,45,10,1,0,0,0,0,0,Intermediate
.7..........7........41.3..72......4.4639.8......2....8..9..6....48.1.73.6......2,24,42,14,3,0,1,0,1,0,Expert
3.....76........93.9..3...1.1.9..2.44....3...6......1..6.4.7..2..25..6..54.......,25,42,12,2,1,0,0,2,0,Expert
.....7129...935.4....2.....7.23..91...6.2.5...546....................2.13.7...6..,25,48,8,0,0,0,0,0,0,Easy
2...7.89..9....6.58.3...17....3..........973..5....9..91...2..8...1.......26..5..,25,48,8,0,0,0,0,0,0,Easy
...981....2.375................98.71.3........8.2.7...5.....6.3..7....292..5.6.1.,25,56,0,0,0,0,0,0,0,Simple
.....9....4.7.........61.9.6....4.5...7..51....2.....45....6.4227.9......968.....,24,41,16,0,0,0,0,0,0,Easy
.........9.4..36..3....5.......4..1.54....2...2.1....36.7..2.35.1..7..96..9...7..,25,29,27,0,0,0,0,0,0,Easy
8...1......93....53..7.2..6.....8.52....2.9.312..6........7..3....6..7.......5..8,24,43,14,0,0,0,0,0,0,Easy
8...746..............62..71....3.769.....6.8.7..4..3.2..2.....3.932.1........3...,25,49,7,0,1,2,1,0,0,Intermediate
......6....36.581...8..12.5.57..4....1..3..2......8.....5.7.1...4..23.5.........7,25,40,16,0,0,0,0,0,0,Easy
..9.82....576.............6.8.537.2......9.4.........7.9..23.......5.68..7....5..,23,43,15,0,0,0,0,0,0,Easy
....1..2.47.35...1...9..7.....7..2.........6...1..6..5.6.....5.......4.3392..41..,24,41,16,0,0,0,0,0,0,Easy
.1.54729.......7.......3....5...431...912.............12......473.9.6...5.6.1..3.,26,51,4,0,0,0,0,0,0,Easy
.94..2.6.12.3.68..........12..15.6...3....51....839.............1.69..2...8......,25,37,19,1,0,0,0,0,0,Intermediate
...9........3.2..6.97.15.3.....8965........79..376..8.86....91.........5.1....8..,26,45,10,3,0,0,0,0,0,Intermediate
.8......1.149.3....32.8....37.16.2..............34........2..96..97..1..827......,25,40,16,0,0,0,0,0,0,Easy
.3.....656..84..1...2.......9.....2...8593...1..6....4...95......1.68...98.3.1...,26,50,11,5,0,0,0,2,2,Expert
.......2.2.9..15.33....29......591.........45.....73.2.9.14..37....7......58....1,26,41,14,0,0,0,0,0,0,Easy
..437..6..8..6..3..3...1..5...4.........1...2.2..5..76...7....1....2.8.36....5...,24,37,19,2,1,3,0,1,0,Expert
...1...671..6..3.5....23..46.3.1..9....3.91.......75....67......1.945.....5......,26,65,25,2,0,1,0,7,8,Expert
...57........4.87...83....48..1...46.......8.2..8.51..7..4....1....2...5.3...67..,25,43,13,0,0,0,0,0,0,Easy
.83.....2.2.1..6.5..1.39.8..1.3..9......5......5.92...6....72.4..............3...,23,46,12,0,0,0,0,0,0,Easy
4..93...226..4.......1.....89.....1...2..........84...14.6...29..3.2..8...8..954.,26,53,27,0,1,0,0,6,8,Expert
5.7.....112.....95....2.3..6.....7.....51..3.9.387....26........19....5...5..9..7,26,45,10,0,0,0,0,0,0,Easy
9..7.1.4.28.5.9..............3.8249.5.9...2.1......7..3.2..4.......7....8...93.5.,26,46,9,1,0,0,0,0,0,Intermediate
9.4.36.1...594.6....3718.4.8...7..9.......8.....4...374...6...........8...9..3...,26,47,8,1,0,1,0,0,0,Intermediate
..5.9..8.482........93...7.5.1.....9.237...1.7..15...3.4..7......74...5........3.,26,46,9,0,0,0,0,0,0,Easy
..4.912.....6..3.1...52..96.5..6..2....1..6.4.......7......5...1..3.4....7......9,24,42,15,0,0,0,0,0,0,Easy
..79.4.........8...8.1.....82.7..1....364....7.4......17.39...6...2.8..79....6..3,26,55,0,0,0,0,0,0,0,Simple
1...3....4.27...167..6.82......5.....4...1...2......38.....2.7......7.6..5.16..2.,25,49,7,0,0,0,0,0,0,Easy
...5.2...1......3.......187.25......43......8....5...4..23.4....6..2.....7.8..6.5,23,46,19,0,0,0,1,2,2,Expert
..8...21.1....7.......94.7.....238..8...6..4.2....8..6.7..3...9.6.........97.....,23,42,16,0,0,0,0,0,0,Easy
.32.......5.324.899....57..1.5......8...7..2....1.9..4...89.......752....2.......,25,41,13,0,0,2,1,2,0,Expert
..9..67.....4...2.17...5.3....3275.6....61......5.43...6....9.2.5......4.......6.,25,43,13,0,0,0,0,0,0,Easy
.....38...9.8.1.451....7.2.8.4....7..1.3..58.........9...94......5.7......2...7..,24,67,18,0,1,0,0,4,4,Expert
84.2.5............5...7.8..2..8..4....5.43...9...5.73..2.....68.3.7.95..........2,25,69,18,3,0,2,0,2,2,Expert
3...741.2...........25...74.1.2.....8........2...3...8...48.5..1.6....8.....512.7,25,115,16,2,2,2,0,6,8,Expert
.4......7..36.....6......9.4..21..3...5.9.7......6.9.1761.534..........5...9..1..,25,39,17,0,0,0,0,0,0,Easy
.....5.1..18........6..32..94.3...2.3..6....96..54...8......36......21........84.,24,62,5,2,1,0,0,3,2,Expert
..8..1........47.....28.41.....72.....9..8.72..63.......2.9.1.69.....83..8.16..9.,27,57,14,3,0,0,0,3,2,Expert
......382..35....4.........29.48.5.18....52....49.2...12.......5..649.....8.....5,26,47,8,0,0,0,0,0,0,Easy
...5.........7.9.4..814...6.65....97....6.....3..5..1....3....9.96...73..7..1.54.,26,39,16,0,0,0,0,0,0,Easy
83.4..7...9...3..874.2....6.....9...4..6......163.82......7.4....9...6.....1.....,24,36,21,0,0,0,0,0,0,Easy
....5.......7..38.......7.2..4......2...4..98..869..5.53.9....4..2....7.4..3.7...,24,36,20,0,0,1,0,1,0,Expert
.3...4....7.23.6......5......7.1..3..6...7..451..........3.6.52.267..41.9.......7,26,34,19,2,0,2,0,2,0,Expert
..2.15..393...2.6.4...9..75.9........4......62....4...57........2.6..4.7..6..19..,26,50,5,0,0,0,0,0,0,Easy
2.......476..5.21...1....5.......76..4.7....39.....1....2.7....51..6..293..4....1,26,38,17,0,0,0,0,0,0,Easy
.9.54.12...83.25.9...98...71..4....358....9..974...2....5......4..1.....8.....4..,28,50,3,0,0,0,0,0,0,Easy
.....84.7.......8..9....3.2..9....1..7....8...8..23...8..95..3.7...842.9....715..,26,46,9,0,0,0,0,0,0,Easy
41...3....2..1..93.9..72..6.6......93..............7321...476....8..9.1...7......,25,31,25,1,0,0,0,0,0,Intermediate
...6...717...4.......2.....25..76..3...1.....4...2.9....5.62.4...25.....34..1...7,25,26,30,0,0,0,0,0,0,Easy
.6...9.25..4..163.3.1.8..49..8...........4.9.92.5.....1..9.....6423......8.2.....,27,46,7,1,0,2,0,1,0,Expert
...6..4....5...1..67.9.38..3..4.......8.917.44...87....3.1759.....8.6..7.........,27,76,12,2,1,1,0,7,6,Expert
4.657.8....8....65......4....7.52...84..1.....3...8..7..34.7.8.5...2....7.4.6....,27,59,17,1,0,0,0,4,2,Expert
..8.5.2..5..437.6.4.32..1.....7.461............4...5...8.6.2.3......872....1.58..,28,50,3,0,0,0,0,0,0,Easy
7.6.....1.84....6.39...........3......5.873..9.........4.7..9......4.63...39.647.,25,23,32,0,0,1,0,1,0,Expert
7...6..5..2....71.8..5..9...1...62.3...7..6...53.8...9..9........2..3..........3.,23,46,12,0,0,0,0,0,0,Easy
.13.8.......6.....48....5...4.29....156..3..........31..4...2.69..1.2...5.......9,24,44,13,0,0,0,0,0,0,Easy
...57.9.3..8..6....43.2.....74.926...8..3..2.......5.92..7.9.....6......43.......,25,65,20,1,1,0,0,4,6,Expert
....7..8.42..31....8.....4194......8........4..3..5.7....7...95..79.....21.......,23,45,13,3,0,0,0,0,0,Intermediate
.4..1....659......27..5..6...7.4....5.2..6....9...2....68..7.41...9.8.........9.2,25,39,17,0,0,0,0,0,0,Easy
.........9....76.....3241........2...4.9...8.2...8.394.9......1.6..78.2.3.1..946.,27,36,18,0,0,0,0,0,0,Easy
.....47..3.4.......9...2.........43...51.....742.......712...4..5.8.7.929.....31.,25,51,24,2,1,3,0,4,4,Expert
6..9.......72..49.............65..1...4..2.6.57.4.....9..528..11..79.84..........,25,39,17,2,0,0,0,0,0,Intermediate
..3......2....7.1.87..6...3.6..3.7.5.4.85......2..68.468.......427.83.....1......,27,40,14,2,0,2,0,0,0,Intermediate
.........5..369..79....8.5......39.426.4...8...9..5..6....34....8.....2..73......,24,34,23,2,0,0,0,0,0,Intermediate
75....62.4.....9.7.9...2.1.....6..74..9........54..23......4.6....7.1....24.3...1,26,75,20,2,0,1,0,7,6,Expert
..4..7......146............13.2..7...2.......7.6..15..3..7..865.4..5813...1.3..7.,27,60,1,1,1,0,0,2,2,Expert
.9...1.8.....7.3...3..861.5.43...7.......4..........6.5.6...4.....4...57..7..8..6,24,47,10,0,0,0,0,0,0,Easy
24.8..35.9......2..1..2..4.1.5..27.9....5......47.1.......84.....79........53....,25,71,14,3,2,1,0,5,6,Expert
3...9.17..2......5.9........3...52......7..64..7.623......17.4.6...5...9.......3.,24,51,19,3,1,1,0,2,2,Expert
....6.3..........5..2........8.3.24.5.....8...9.4....742.9.37....5..2.....3.5.6.9,24,36,20,0,0,0,0,1,0,Expert
.63...8..1......4...7........15......2....56.67.3.2..4....17.......8...22.64....3,24,42,15,0,0,0,0,0,0,Easy
.5.....1.9615..7....7...2....9....5.....5...4......198.7.4..9...4.9.5.2.6..2.7...,26,47,8,0,0,0,0,0,0,Easy
1.86.9..7...1..9.37........5...47..99.........4..1...5...79...4..65..8..4......56,26,62,32,0,1,0,0,6,8,Expert
...2.7.91.7.4..2......86.7.....9.6.5...1....4..4..2....2....7...5.....126.9......,24,42,12,0,0,1,0,3,0,Expert
...47....836..2...9.........5....2..7.8...69...37...4.3.......92....94...4.....75,24,45,20,2,0,2,0,2,2,Expert
....487.3..2.9..45...2........85.9...7...65.28..4........37...6......4....9.25...,25,36,20,0,0,0,0,0,0,Easy
.27...4..64..38.9.8....63...6....2...3..............7.2...9..5..8...5...95.2..746,26,52,3,0,0,0,0,0,0,Easy
.....7..5..7......826......57..2...3.....9...2638.5......5..2.1....6297.....9..38,26,41,14,0,0,0,0,0,0,Easy
...4....3.9...8..4.5........7...48.15.9...4.76..1..93...1...7...8..76..99.....3.8,27,43,11,0,0,2,0,0,0,Intermediate
.7.....5..6....1......9..76.....53..9....4...84..13.....678.4....8....95.....9.8.,24,49,8,0,0,0,0,0,0,Easy
..8....5..1486...7.2.9....18..14.......2.......2.......5....2686..59.1...7....9..,25,61,9,2,1,0,0,4,2,Expert
.7.4..1.549.....6.1.5..79.3...1....9...936....1...46.7...5.9.......6..8...3...5..,27,52,2,0,0,0,0,0,0,Easy
5...1926..1..24.........3.1.....8.4.......5....9..21.898...1.....3......16.8...95,26,40,15,0,0,0,0,0,0,Easy
